Código IBGE;Municípios;   Ano   ;População;Porte Populacional
3530706;Mogi-Guaçu;2021; 149.071 ;De 100 a 200 mil
3530805;Moji Mirim;2021; 90.657 ;De 50 a 100 mil
3530904;Mombuca;2021; 3.338 ;Até 50 mil
3531001;Monções;2021; 2.173 ;Até 50 mil
3531100;Mongaguá;2021; 55.216 ;De 50 a 100 mil
3531209;Monte Alegre do Sul;2021; 7.792 ;Até 50 mil
3531308;Monte Alto;2021; 48.469 ;Até 50 mil
3531407;Monte Aprazível;2021; 23.561 ;Até 50 mil
3531506;Monte Azul Paulista;2021; 18.131 ;Até 50 mil
3531605;Monte Castelo;2021; 3.985 ;Até 50 mil
3531704;Monteiro Lobato;2021; 4.491 ;Até 50 mil
3531803;Monte Mor;2021; 60.555 ;De 50 a 100 mil
3531902;Morro Agudo;2021; 32.603 ;Até 50 mil
3532009;Morungaba;2021; 13.359 ;Até 50 mil
3532058;Motuca;2021; 4.665 ;Até 50 mil
3532108;Murutinga do Sul;2021; 4.283 ;Até 50 mil
3532157;Nantes;2021; 3.103 ;Até 50 mil
3532207;Narandiba;2021; 4.888 ;Até 50 mil
3532306;Natividade da Serra;2021; 6.703 ;Até 50 mil
3532405;Nazaré Paulista;2021; 18.611 ;Até 50 mil
3532504;Neves Paulista;2021; 8.592 ;Até 50 mil
3532603;Nhandeara;2021; 10.760 ;Até 50 mil
3532702;Nipoã;2021; 5.014 ;Até 50 mil
3532801;Nova Aliança;2021; 6.487 ;Até 50 mil
3532827;Nova Campina;2021; 9.787 ;Até 50 mil
3532843;Nova Canaã Paulista;2021; 1.921 ;Até 50 mil
3532868;Nova Castilho;2021; 1.180 ;Até 50 mil
3532900;Nova Europa;2021; 10.863 ;Até 50 mil
3533007;Nova Granada;2021; 21.054 ;Até 50 mil
3533106;Nova Guataporanga;2021; 2.192 ;Até 50 mil
3533205;Nova Independência;2021; 3.774 ;Até 50 mil
3533254;Novais;2021; 5.575 ;Até 50 mil
3533304;Nova Lusitânia;2021; 4.083 ;Até 50 mil
3533403;Nova Odessa;2021; 58.490 ;De 50 a 100 mil
3533502;Novo Horizonte;2021; 39.124 ;Até 50 mil
3533601;Nuporanga;2021; 7.297 ;Até 50 mil
3533700;Ocauçu;2021; 4.143 ;Até 50 mil
3533809;Óleo;2021; 2.517 ;Até 50 mil
3533908;Olímpia;2021; 52.670 ;De 50 a 100 mil
3534005;Onda Verde;2021; 4.250 ;Até 50 mil
3534104;Oriente;2021; 6.275 ;Até 50 mil
3534203;Orindiúva;2021; 6.951 ;Até 50 mil
3534302;Orlândia;2021; 42.436 ;Até 50 mil
3534401;Osasco;2021; 682.876 ;Mais de 500 mil
3534500;Oscar Bressane;2021; 2.508 ;Até 50 mil
3534609;Osvaldo Cruz;2021; 31.256 ;Até 50 mil
3534708;Ourinhos;2021; 111.039 ;De 100 a 200 mil
3534757;Ouroeste;2021; 9.871 ;Até 50 mil
3534807;Ouro Verde;2021; 8.306 ;Até 50 mil
3534906;Pacaembu;2021; 13.041 ;Até 50 mil
3535002;Palestina;2021; 12.220 ;Até 50 mil
3535101;Palmares Paulista;2021; 13.154 ;Até 50 mil
3535200;Palmeira d'Oeste;2021; 9.092 ;Até 50 mil
3535309;Palmital;2021; 21.609 ;Até 50 mil
3535408;Panorama;2021; 15.253 ;Até 50 mil
3535507;Paraguaçu Paulista;2021; 44.310 ;Até 50 mil
3535606;Paraibuna;2021; 18.304 ;Até 50 mil
3535705;Paraíso;2021; 6.293 ;Até 50 mil
3535804;Paranapanema;2021; 20.151 ;Até 50 mil
3535903;Paranapuã;2021; 3.895 ;Até 50 mil
3536000;Parapuã;2021; 10.473 ;Até 50 mil
3536109;Pardinho;2021; 6.467 ;Até 50 mil
3536208;Pariquera-Açu;2021; 19.311 ;Até 50 mil
3536257;Parisi;2021; 2.053 ;Até 50 mil
3536307;Patrocínio Paulista;2021; 14.592 ;Até 50 mil
3536406;Paulicéia;2021; 7.213 ;Até 50 mil
3536505;Paulínia;2021; 106.781 ;De 100 a 200 mil
3536570;Paulistânia;2021; 1.769 ;Até 50 mil
3536604;Paulo de Faria;2021; 8.520 ;Até 50 mil
3536703;Pederneiras;2021; 45.877 ;Até 50 mil
3536802;Pedra Bela;2021; 5.974 ;Até 50 mil
3536901;Pedranópolis;2021; 2.412 ;Até 50 mil
3537008;Pedregulho;2021; 16.319 ;Até 50 mil
3537107;Pedreira;2021; 46.908 ;Até 50 mil
3537156;Pedrinhas Paulista;2021; 3.015 ;Até 50 mil
3537206;Pedro de Toledo;2021; 11.055 ;Até 50 mil
3537305;Penápolis;2021; 60.902 ;De 50 a 100 mil
3537404;Pereira Barreto;2021; 25.411 ;Até 50 mil
3537503;Pereiras;2021; 8.507 ;Até 50 mil
3537602;Peruíbe;2021; 66.747 ;De 50 a 100 mil
3537701;Piacatu;2021; 5.936 ;Até 50 mil
3537800;Piedade;2021; 53.656 ;De 50 a 100 mil
3537909;Pilar do Sul;2021; 28.355 ;Até 50 mil
3538006;Pindamonhangaba;2021; 164.753 ;De 100 a 200 mil
3538105;Pindorama;2021; 16.331 ;Até 50 mil
3538204;Pinhalzinho;2021; 14.877 ;Até 50 mil
3538303;Piquerobi;2021; 3.532 ;Até 50 mil
3538501;Piquete;2021; 13.621 ;Até 50 mil
3538600;Piracaia;2021; 26.379 ;Até 50 mil
3538709;Piracicaba;2021; 391.464 ;De 200 a 500 mil
3538808;Piraju;2021; 28.552 ;Até 50 mil
3538907;Pirajuí;2021; 23.274 ;Até 50 mil
3539004;Pirangi;2021; 10.825 ;Até 50 mil
3539103;Pirapora do Bom Jesus;2021; 19.139 ;Até 50 mil
3539202;Pirapozinho;2021; 27.425 ;Até 50 mil
3539301;Pirassununga;2021; 73.921 ;De 50 a 100 mil
3539400;Piratininga;2021; 13.305 ;Até 50 mil
3539509;Pitangueiras;2021; 38.852 ;Até 50 mil
3539608;Planalto;2021; 5.221 ;Até 50 mil
3539707;Platina;2021; 3.528 ;Até 50 mil
3539806;Poá;2021; 116.289 ;De 100 a 200 mil
3539905;Poloni;2021; 5.681 ;Até 50 mil
3540002;Pompéia;2021; 21.384 ;Até 50 mil
3540101;Pongaí;2021; 3.340 ;Até 50 mil
3540200;Pontal;2021; 49.889 ;Até 50 mil
3540259;Pontalinda;2021; 4.515 ;Até 50 mil
3540309;Pontes Gestal;2021; 2.530 ;Até 50 mil
